1,1,53.4,61.5,123.29999999999998,58.099999999999994,1,1,1.0
1,2,0.3,12.6,17.599999999999998,32.68,1,1,1.0
1,3,92.1,0.41,228.88000000000002,62.790000000000006,1,1,1.0
1,4,314.1,0.34,396.22,113.86,1,1,1.0
2,1,34.6,58.7,120.05000000000001,58.5,1,1,1.0
2,2,0.3,12.6,9.799999999999999,32.68,1,1,1.0
2,3,92.1,0.41,228.88000000000002,62.74,1,1,1.0
2,4,313.3,0.34,396.46,113.06,1,1,1.0
3,1,19.4,55.5,114.0,55.3,1,1,1.0
3,2,0.3,12.6,3.2,32.68,1,1,1.0
3,3,92.1,0.41,228.88000000000002,62.7,1,1,1.0
3,4,312.5,0.34,396.70000000000005,112.25999999999999,1,1,1.0
4,1,4.17,53.1,110.42999999999999,55.300000000000004,1,1,1.0
4,3,92.1,0.41,228.88000000000002,62.650000000000006,1,1,1.0
4,4,311.95,0.34,396.45,112.25999999999999,1,1,1.0
5,1,0.0,50.3,92.96,53.7,1,1,1.0
5,3,92.1,0.41,228.88000000000002,62.61000000000001,1,1,1.0
5,4,311.4,0.34,396.20000000000005,112.25999999999999,1,1,1.0
6,1,0.0,47.5,75.32,51.3,1,1,1.0
6,3,92.1,0.41,228.88000000000002,62.56,1,1,1.0
6,4,311.15,0.34,395.4,112.25999999999999,1,1,1.0
7,1,0.0,43.89,56.9,50.91,1,1,1.0
7,3,92.1,0.41,228.88000000000002,62.52,1,1,1.0
7,4,310.9,0.34,394.6,112.25999999999999,1,1,1.0
8,1,0.0,40.69,42.07,50.900000000000006,1,1,1.0
8,3,92.1,0.41,228.88000000000002,62.470000000000006,1,1,1.0
8,4,310.35,0.34,394.6,112.25999999999999,1,1,1.0
9,1,0.0,38.68,26.84,50.910000000000004,1,1,1.0
9,3,92.1,0.41,228.88000000000002,62.43000000000001,1,1,1.0
9,4,309.8,0.34,394.59999999999997,112.25999999999999,1,1,1.0
10,1,0.0,48.7,14.01,29.299999999999997,1,1,1.0
